"Matricola";"Punteggio.totale";"Punteggio.parte.A";"Punteggio.parte.B";"Compito"
"9683562";30;10;10;"P"
"9683998";29;9,8;9,8;"P"
"9683431";28;8,7;9,8;"P"
"9682470";23;5,4;9,8;"F"
"9683785";22;4,8;9,7;"F"
"9682289";25;6,8;9,7;"P"
"9682987";28;8,9;9,5;"F"
"9682149";27;8,4;9,5;"P"
"9683969";23;5,5;9,5;"C"
"9681153";25;7,4;9,4;"C"
"9682905";24;6,9;9,4;"Q"
"9682593";23;6,1;9,4;"C"
"9681393";25;7,4;9,3;"P"
"9682008";24;6,7;9,3;"C"
"9683597";20;4,1;9,3;"P"
"9681206";23;6,4;9,2;"C"
"9683799";20;4,3;9,2;"F"
"9683240";27;8,7;9,1;"Q"
"9681761";23;6;9;"Q"
"9681047";26;8,4;8,9;"C"
"9681692";25;7,5;8,9;"C"
"9681689";24;7,4;8,9;"C"
"9683636";23;6,6;8,9;"C"
"9682950";17;2,3;8,8;"F"
"9683511";25;7,9;8,7;"C"
"9682602";24;7,5;8,7;"P"
"9681942";22;5,9;8,7;"C"
"9682485";25;7,8;8,6;"C"
"9683539";18;3,4;8,6;"C"
"9682724";17;2,9;8,6;"F"
"9681483";24;7,5;8,6;"F"
"9683601";21;5,4;8,6;"C"
"9683310";17;2,9;8,6;"F"
"9681230";24;7,5;8,5;"P"
"9683894";25;8,3;8,3;"Q"
"9682601";18;3,6;8,2;"C"
"9681541";24;7,7;8,1;"F"
"9683942";26;9;8;"F"
"9681884";25;8,7;8;"Q"
"9681675";20;5,6;8;"F"
"9682169";20;5,2;8;"F"
"9683282";23;7,4;7,95;"Q"
"9683742";19;5;7,9;"F"
"9681310";18;4,4;7,9;"Q"
"9683697";21;6,2;7,8;"F"
"9681350";23;7,3;7,7;"C"
"9683063";21;6,5;7,7;"P"
"9682787";21;6,3;7,6;"P"
"9681309";16;3,1;7,4;"C"
"9682849";22;7,5;7,4;"P"
"9681747";20;6;7,2;"C"
"9681576";20;6,3;6,9;"P"
"9683341";19;5,7;6,9;"F"
"9681760";17;4,1;6,9;"Q"
"9682233";20;6,6;6,8;"Q"
"9681318";15;2,9;6,8;"F"
"9681304";14;2,8;6,7;"Q"
"9683507";14;3;6,6;"C"
"9681011";14;2,8;6,5;"Q"
"9682904";20;6,8;6,5;"F"
"9681311";15;3,9;6,4;"Q"
"9683875";22;5,3;9,1;"C"
"9681609";22;8,3;6,3;"P"
"9683729";18;6;6,3;"P"
"9682418";19;5,8;6,6;"C"
"9683116";16;4,3;6,1;"Q"
"9682545";14;3,7;5,8;"F"
"9682882";17;5,8;5,7;"C"
"9683797";17;6;5,6;"P"
"9682956";17;5,5;5,6;"Q"
"9682393";12;2,7;5,5;"P"
"9683497";12;2,4;5,5;"P"
"9683652";11;2;5,5;"P"
"9681027";11;1,8;5,5;"P"
"9682735";14;3,8;5,4;"F"
"9682723";10;1,5;5,3;"Q"
"9681966";15;4,9;5,2;"F"
"9682829";14;4,3;5,2;"F"
"9681717";12;3,2;5,1;"C"
"9681163";11;2,2;4,9;"P"
"9682429";8;0,4;4,8;"F"
"9683888";10;2,1;4,8;"Q"
"9683665";12;3,3;4,7;"P"
"9681682";11;2,5;4,6;"Q"
"9682933";9;1,6;4,4;"Q"
"9681918";9;1,5;4,4;"P"
"9682758";9;2,2;4,1;"F"
"9681593";7;1,1;3,4;"P"
"9683683";10;1,9;4,9;"Q"
"9683965";8;2,4;3;"P"
"9682044";6;1,3;2,9;"F"
"9683800";10;3,6;2,9;"Q"
"9681227";5;0,3;2,7;"C"
"9682916";5;1,3;2,3;"P"
"9682444";4;0,2;2,2;"Q"
"9683505";5;1,1;2;"P"
"9682822";4;0,8;2;"C"
"9681387";3;0,1;2;"P"
"9683919";6;2,4;1,6;"F"
"9683654";3;0,9;1;"Q"
"9683826";1;0,6;0;"C"
